                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.85828,                 2.5217,                 1.3226,                0.00326,                      1,                0.55486,                0.37527,                 0.6291,                 3.0096,                 1.1697,                 0.0002,                 0.0002,                 0.0002
                      2,                0.61327,                 1.4632,                  1.122,                0.79484,                0.49472,                0.77905,                0.59035,                0.65202,                 2.6784,                 1.1641,             0.00041584,             0.00041584,             0.00041584
                      3,                0.58902,                 1.1551,                 1.0919,                0.71804,                0.51064,                0.68875,                0.45735,                 1.0232,                 2.9271,                 1.6022,             0.00062733,             0.00062733,             0.00062733
                      4,                0.67121,                 1.2021,                   1.12,                0.58444,                 0.6285,                 0.6679,                0.45441,                  1.052,                 2.5686,                 1.5903,             0.00083446,             0.00083446,             0.00083446
                      5,                0.61811,                 1.0908,                 1.0752,                0.51921,                0.59574,                 0.5961,                0.37225,                 1.0113,                 2.6323,                 1.5212,              0.0010372,              0.0010372,              0.0010372
                      6,                0.62729,                0.95589,                 1.0659,                0.42307,                0.57447,                0.46978,                0.29137,                 1.2034,                 2.6872,                 1.6427,              0.0012357,              0.0012357,              0.0012357
                      7,                0.64536,                0.94788,                 1.0552,                0.58767,                0.59574,                0.55317,                0.28234,                 1.4095,                  2.513,                 1.8793,              0.0014297,              0.0014297,              0.0014297
                      8,                 0.6879,                0.97813,                 1.0962,                0.49007,                0.48936,                0.43318,                0.26769,                 1.4739,                 3.1941,                 2.1546,              0.0016194,              0.0016194,              0.0016194
                      9,                0.72542,                0.96081,                 1.1046,                0.65392,                0.51064,                0.58654,                0.35151,                 1.1801,                  3.069,                  1.845,              0.0018048,              0.0018048,              0.0018048
                     10,                0.70295,                0.88455,                 1.1238,                0.75366,                  0.586,                0.69003,                0.45799,                0.95586,                 2.4483,                 1.5115,              0.0018218,              0.0018218,              0.0018218
                     11,                0.68166,                0.88915,                 1.1188,                0.54929,                0.72609,                0.63639,                0.39925,                 1.0723,                 2.1735,                 1.6778,               0.001802,               0.001802,               0.001802
                     12,                0.64099,                0.80706,                 1.0895,                0.58632,                 0.6383,                0.65396,                0.46043,                 1.0779,                 1.7322,                 1.5695,              0.0017822,              0.0017822,              0.0017822
                     13,                0.60607,                0.75537,                 1.0436,                0.56015,                0.75875,                0.64782,                0.39272,                 1.0278,                 1.8901,                 1.6247,              0.0017624,              0.0017624,              0.0017624
                     14,                0.61592,                0.72586,                 1.0527,                 0.5539,                0.68085,                0.65371,                 0.3972,                 1.2044,                 1.8498,                 1.8101,              0.0017426,              0.0017426,              0.0017426
                     15,                0.56795,                0.69776,                 1.0448,                0.80398,                 0.6383,                 0.7201,                0.43165,                 1.1658,                 1.6449,                 1.7039,              0.0017228,              0.0017228,              0.0017228
                     16,                0.58354,                0.71857,                 1.0536,                 0.5364,                0.59574,                0.48781,                0.27882,                 1.3757,                 1.9621,                 1.8612,               0.001703,               0.001703,               0.001703
                     17,                0.58696,                0.69787,                 1.0589,                0.70855,                  0.776,                0.70964,                0.48821,                  1.101,                 1.5085,                 1.5113,              0.0016832,              0.0016832,              0.0016832
                     18,                0.54614,                0.60833,                 1.0229,                 0.6828,                0.78723,                0.67992,                0.51878,                 1.0309,                 1.5052,                 1.3832,              0.0016634,              0.0016634,              0.0016634
                     19,                0.56196,                0.60854,                  1.024,                0.74887,                0.82489,                0.79935,                0.62786,                0.90297,                 1.1871,                 1.2797,              0.0016436,              0.0016436,              0.0016436
                     20,                0.57487,                0.61485,                 1.0325,                0.77601,                0.61702,                0.71761,                0.44605,                 1.1372,                 1.4254,                 1.6274,              0.0016238,              0.0016238,              0.0016238
                     21,                0.57204,                0.60617,                 1.0063,                0.56057,                0.59574,                0.59122,                0.32307,                 1.3135,                 1.6761,                 1.7589,               0.001604,               0.001604,               0.001604
                     22,                 0.5416,                0.56848,                 1.0067,                 0.8153,                0.84537,                 0.8595,                0.67511,                0.77938,                0.94875,                 1.2688,              0.0015842,              0.0015842,              0.0015842
                     23,                0.55825,                0.58335,                 1.0282,                 0.8566,                0.68085,                0.78409,                0.61459,                0.80249,                 1.2023,                 1.2387,              0.0015644,              0.0015644,              0.0015644
