                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.39157,                  0.589,                0.95651,                 0.8912,                0.87139,                0.88792,                0.79726,                0.47735,                0.61069,                0.98431,                 0.0002,                 0.0002,                 0.0002
                      2,                0.38879,                0.40668,                0.94684,                0.88264,                0.82979,                0.84825,                 0.7313,                0.64675,                  0.661,                 1.1177,             0.00041584,             0.00041584,             0.00041584
                      3,                0.35953,                0.35309,                0.92931,                0.89957,                0.95296,                0.91838,                0.79879,                0.58787,                0.54852,                 1.0743,             0.00062733,             0.00062733,             0.00062733
                      4,                0.39607,                0.38666,                0.93678,                0.89532,                0.93617,                0.95992,                0.74207,                0.80303,                0.69856,                 1.2241,             0.00083446,             0.00083446,             0.00083446
                      5,                0.42244,                0.39313,                 0.9313,                0.84403,                0.89362,                0.90334,                0.72079,                0.78376,                0.81786,                 1.2676,              0.0010372,              0.0010372,              0.0010372
                      6,                0.41436,                0.38411,                 0.9425,                0.89793,                0.93591,                0.92838,                0.79969,                0.68102,                0.56292,                 1.1689,              0.0012357,              0.0012357,              0.0012357
                      7,                0.43279,                 0.4169,                0.93336,                0.86273,                0.85106,                0.87758,                0.75686,                0.68303,                0.81871,                 1.1967,              0.0014297,              0.0014297,              0.0014297
                      8,                0.45732,                 0.4274,                0.95525,                0.75848,                0.82979,                0.85805,                0.64105,                0.92954,                0.88375,                 1.4281,              0.0016194,              0.0016194,              0.0016194
                      9,                0.47742,                0.43683,                0.97282,                0.75686,                0.74468,                0.81467,                0.61891,                0.86444,                0.88788,                 1.3439,              0.0018048,              0.0018048,              0.0018048
                     10,                0.47647,                0.41842,                0.98516,                 0.7119,                0.73614,                0.76569,                0.57063,                0.86171,                 1.1116,                 1.3104,              0.0018218,              0.0018218,              0.0018218
                     11,                0.46972,                0.45217,                0.98382,                 0.8849,                0.85106,                0.90175,                0.71898,                0.72243,                0.79396,                 1.2071,               0.001802,               0.001802,               0.001802
                     12,                0.47185,                0.43694,                0.98183,                 0.7744,                0.76596,                 0.7842,                0.57325,                0.74583,                 1.1934,                 1.1489,              0.0017822,              0.0017822,              0.0017822
                     13,                0.46546,                0.45055,                0.97441,                0.82089,                0.68265,                 0.7532,                0.61203,                 0.7206,                 1.0191,                 1.1696,              0.0017624,              0.0017624,              0.0017624
                     14,                0.45776,                0.41283,                0.97423,                0.87482,                0.70213,                0.82689,                0.71468,                0.68239,                 0.7606,                 1.1345,              0.0017426,              0.0017426,              0.0017426
                     15,                0.48173,                0.43235,                0.99444,                0.75052,                0.76813,                0.76999,                0.64191,                0.85423,                0.94423,                 1.3409,              0.0017228,              0.0017228,              0.0017228
                     16,                0.46034,                0.43388,                0.98261,                 0.7359,                0.88937,                   0.83,                0.63881,                0.88267,                0.93367,                 1.3973,               0.001703,               0.001703,               0.001703
                     17,                0.48171,                0.47743,                  1.006,                0.81898,                0.86646,                0.86652,                0.70953,                0.78145,                0.75413,                 1.1825,              0.0016832,              0.0016832,              0.0016832
                     18,                0.44995,                 0.3938,                0.97081,                0.82123,                0.78202,                0.82849,                0.64726,                0.91148,                0.95536,                 1.2565,              0.0016634,              0.0016634,              0.0016634
                     19,                0.46809,                0.40644,                0.97171,                0.85053,                0.89362,                0.90178,                0.69336,                0.83134,                0.84467,                 1.2188,              0.0016436,              0.0016436,              0.0016436
                     20,                0.46942,                0.40453,                0.97977,                0.87347,                0.89362,                0.90257,                0.72813,                 0.7106,                0.74136,                  1.111,              0.0016238,              0.0016238,              0.0016238
                     21,                0.45633,                0.41777,                0.95996,                0.87693,                0.75812,                0.84292,                0.58793,                0.92107,                0.96697,                 1.3133,               0.001604,               0.001604,               0.001604
                     22,                0.44554,                 0.4035,                0.96115,                0.81946,                0.74468,                0.82629,                0.58903,                0.86919,                 1.0601,                 1.3646,              0.0015842,              0.0015842,              0.0015842
                     23,                0.48938,                0.42404,                  0.997,                0.80483,                0.78967,                0.83689,                0.67352,                0.69585,                0.90827,                 1.1587,              0.0015644,              0.0015644,              0.0015644
                     24,                0.46184,                0.39543,                0.98701,                0.87804,                0.76591,                0.81329,                 0.6124,                0.91873,                0.93825,                 1.4224,              0.0015446,              0.0015446,              0.0015446
                     25,                0.45332,                0.39836,                0.95125,                0.80092,                0.57447,                0.69024,                0.51049,                 1.2549,                 1.3919,                 1.6574,              0.0015248,              0.0015248,              0.0015248
                     26,                0.47149,                0.41073,                0.97534,                0.89451,                0.74468,                0.81738,                0.63537,                0.94613,                 1.1328,                 1.3921,               0.001505,               0.001505,               0.001505
                     27,                0.43601,                0.38003,                0.97063,                0.91519,                0.76596,                0.88554,                0.69931,                0.77751,                0.81001,                   1.19,              0.0014852,              0.0014852,              0.0014852
                     28,                0.47163,                 0.4122,                0.99221,                0.80768,                0.82979,                0.87382,                0.73829,                0.69525,                0.69023,                 1.1776,              0.0014654,              0.0014654,              0.0014654
